编号,城市,文件,尺寸,字节数
1,上海,images/01_上海.png,1122x1402,2611373
2,北京,images/02_北京.png,1122x1402,2654606
3,东京,images/03_东京.png,1122x1402,2512340
4,京都,images/04_京都.png,1122x1402,2642632
5,首尔,images/05_首尔.png,1122x1402,2948126
6,曼谷,images/06_曼谷.png,1122x1402,2589348
7,新加坡,images/07_新加坡.png,1122x1402,2703992
8,孟买,images/08_孟买.png,1122x1402,2562156
9,迪拜,images/09_迪拜.png,1122x1402,2532370
10,伊斯坦布尔,images/10_伊斯坦布尔.png,1122x1402,2702964
11,莫斯科,images/11_莫斯科.png,1122x1402,2250811
12,巴黎,images/12_巴黎.png,1122x1402,2406555
13,伦敦,images/13_伦敦.png,1122x1402,2633177
14,罗马,images/14_罗马.png,1122x1402,2761983
15,巴塞罗那,images/15_巴塞罗那.png,1122x1402,2675596
16,阿姆斯特丹,images/16_阿姆斯特丹.png,1122x1402,2766749
17,雅典,images/17_雅典.png,1122x1402,2718861
18,开罗,images/18_开罗.png,1122x1402,2891956
19,内罗毕,images/19_内罗毕.png,1122x1402,2628658
20,开普敦,images/20_开普敦.png,1122x1402,2986796
21,纽约,images/21_纽约.png,1122x1402,2560393
22,旧金山,images/22_旧金山.png,1122x1402,2520217
23,墨西哥城,images/23_墨西哥城.png,1122x1402,2663957
24,里约热内卢,images/24_里约热内卢.png,1122x1402,2684798
25,布宜诺斯艾利斯,images/25_布宜诺斯艾利斯.png,1122x1402,2618633
26,利马,images/26_利马.png,1122x1402,2651563
27,悉尼,images/27_悉尼.png,1122x1402,2602960
28,墨尔本,images/28_墨尔本.png,1122x1402,2803371
29,温哥华,images/29_温哥华.png,1122x1402,2763967
30,库斯科,images/30_库斯科.png,1122x1402,2414896
